"Condition","RT_response","correct","correct_response","cur_problem","datetime","experiment_file","fbstate","noprogress","num_correct","practice","problem_type","response","subject_nr","trial","trial_index_inlevel","trials_since_levelup"
"Progressive","1165","1","7","x + 1 = 8","Fri Sep 26 13:08:58 2025","algebra_progressive.osexp","correct","0","1","no","2","7","2","16","2","2"
"Progressive","1380","1","8","x + 2 = 10","Fri Sep 26 13:08:58 2025","algebra_progressive.osexp","correct","0","2","no","2","8","2","17","3","3"
"Progressive","1799","1","5","x + 3 = 8","Fri Sep 26 13:08:58 2025","algebra_progressive.osexp","correct","0","3","no","2","5","2","18","4","4"
"Progressive","2749","1","7","x - 3 = 4","Fri Sep 26 13:08:58 2025","algebra_progressive.osexp","correct","0","4","no","2","7","2","19","5","5"
"Progressive","1982","1","7","x - 4 = 3","Fri Sep 26 13:08:58 2025","algebra_progressive.osexp","correct","0","5","no","2","7","2","20","6","6"
"Progressive","1324","1","8","x + 2 = 10","Fri Sep 26 13:08:58 2025","algebra_progressive.osexp","correct","0","6","no","2","8","2","21","7","7"
"Progressive","2178","1","6","x + 3 = 9","Fri Sep 26 13:08:58 2025","algebra_progressive.osexp","correct","0","7","no","2","6","2","22","8","8"
"Progressive","1309","1","1","x + 2 = 3","Fri Sep 26 13:08:58 2025","algebra_progressive.osexp","correct","0","8","no","2","1","2","23","9","9"
"Progressive","988","1","7","x + 2 = 9","Fri Sep 26 13:08:58 2025","algebra_progressive.osexp","correct","0","9","no","2","7","2","24","10","10"
"Progressive","1911","1","7","x = 28 / 4","Fri Sep 26 13:08:58 2025","algebra_progressive.osexp","correct","0","0","no","3","7","2","25","1","1"
"Progressive","979","1","1","x = 6 / 6","Fri Sep 26 13:08:58 2025","algebra_progressive.osexp","correct","0","1","no","3","1","2","26","2","2"
"Progressive","1238","1","5","x = 25 / 5","Fri Sep 26 13:08:58 2025","algebra_progressive.osexp","correct","0","2","no","3","5","2","27","3","3"
"Progressive","1734","1","8","x = 72 / 9","Fri Sep 26 13:08:58 2025","algebra_progressive.osexp","correct","0","3","no","3","8","2","28","4","4"
"Progressive","1398","1","8","x = 16 / 2","Fri Sep 26 13:08:58 2025","algebra_progressive.osexp","correct","0","4","no","3","8","2","29","5","5"
"Progressive","1638","0","7","x = 42 / 6","Fri Sep 26 13:08:58 2025","algebra_progressive.osexp","wrong","0","5","no","3","8","2","30","6","6"
"Progressive","1262","1","7","x = 14 / 2","Fri Sep 26 13:08:58 2025","algebra_progressive.osexp","correct","0","4","no","3","7","2","31","7","7"
"Progressive","1521","1","4","x = 16 / 4","Fri Sep 26 13:08:58 2025","algebra_progressive.osexp","correct","0","5","no","3","4","2","32","8","8"
"Progressive","1265","1","9","x = 45 / 5","Fri Sep 26 13:08:58 2025","algebra_progressive.osexp","correct","0","6","no","3","9","2","33","9","9"
"Progressive","1532","1","5","x = 10 / 2","Fri Sep 26 13:08:58 2025","algebra_progressive.osexp","correct","0","7","no","3","5","2","34","10","10"
"Progressive","2204","1","5","x = 45 / 9","Fri Sep 26 13:08:58 2025","algebra_progressive.osexp","correct","0","8","no","3","5","2","35","11","11"
"Progressive","1690","1","6","x = 42 / 7","Fri Sep 26 13:08:58 2025","algebra_progressive.osexp","correct","0","9","no","3","6","2","36","12","12"
"Progressive","1394","1","9","5x = 45","Fri Sep 26 13:08:58 2025","algebra_progressive.osexp","correct","0","0","no","4","9","2","37","1","1"
"Progressive","1346","1","6","4x = 24","Fri Sep 26 13:08:58 2025","algebra_progressive.osexp","correct","0","1","no","4","6","2","38","2","2"
"Progressive","2040","0","8","6x = 48","Fri Sep 26 13:08:58 2025","algebra_progressive.osexp","wrong","0","2","no","4","9","2","39","3","3"
"Progressive","869","1","2","9x = 18","Fri Sep 26 13:08:58 2025","algebra_progressive.osexp","correct","0","1","no","4","2","2","40","4","4"
"Progressive","1792","1","8","9x = 72","Fri Sep 26 13:08:58 2025","algebra_progressive.osexp","correct","0","2","no","4","8","2","41","5","5"
"Progressive","1361","1","5","5x = 25","Fri Sep 26 13:08:58 2025","algebra_progressive.osexp","correct","0","3","no","4","5","2","42","6","6"
"Progressive","1213","1","3","2x = 6","Fri Sep 26 13:08:58 2025","algebra_progressive.osexp","correct","0","4","no","4","3","2","43","7","7"
"Progressive","1298","1","8","4x = 32","Fri Sep 26 13:08:58 2025","algebra_progressive.osexp","correct","0","5","no","4","8","2","44","8","8"
"Progressive","779","1","1","6x = 6","Fri Sep 26 13:08:58 2025","algebra_progressive.osexp","correct","0","6","no","4","1","2","45","9","9"
"Progressive","835","1","2","2x = 4","Fri Sep 26 13:08:58 2025","algebra_progressive.osexp","correct","0","7","no","4","2","2","46","10","10"
"Progressive","790","1","2","4x = 8","Fri Sep 26 13:08:58 2025","algebra_progressive.osexp","correct","0","8","no","4","2","2","47","11","11"
"Progressive","946","0","7","6x = 42","Fri Sep 26 13:08:58 2025","algebra_progressive.osexp","wrong","0","9","no","4","8","2","48","12","12"
"Progressive","1118","1","9","6x = 54","Fri Sep 26 13:08:58 2025","algebra_progressive.osexp","correct","0","8","no","4","9","2","49","13","13"
"Progressive","1224","1","4","3x = 12","Fri Sep 26 13:08:58 2025","algebra_progressive.osexp","correct","0","9","no","4","4","2","50","14","14"
"Progressive","3981","0","8","5x - 1 = 39","Fri Sep 26 13:08:58 2025","algebra_progressive.osexp","wrong","0","0","no","5","6","2","51","1","1"
"Progressive","2330","1","2","5x - 1 = 9","Fri Sep 26 13:08:58 2025","algebra_progressive.osexp","correct","0","-1","no","5","2","2","52","2","2"
"Progressive","2756","1","5","7x - 2 = 33","Fri Sep 26 13:08:58 2025","algebra_progressive.osexp","correct","0","0","no","5","5","2","53","3","3"
"Progressive","1954","1","2","2x - 1 = 3","Fri Sep 26 13:08:58 2025","algebra_progressive.osexp","correct","0","1","no","5","2","2","54","4","4"
"Progressive","1692","1","7","7x - 5 = 44","Fri Sep 26 13:08:58 2025","algebra_progressive.osexp","correct","0","2","no","5","7","2","55","5","5"
"Progressive","5001","0","3","2x + 8 = 14","Fri Sep 26 13:08:58 2025","algebra_progressive.osexp","tooslow","0","3","no","5","None","2","56","6","6"
"Progressive","1835","1","6","3x - 2 = 16","Fri Sep 26 13:08:58 2025","algebra_progressive.osexp","correct","0","2","no","5","6","2","57","7","7"
"Progressive","1858","0","4","6x + 3 = 27","Fri Sep 26 13:08:58 2025","algebra_progressive.osexp","wrong","0","3","no","5","5","2","58","8","8"
"Progressive","1429","1","5","7x - 2 = 33","Fri Sep 26 13:08:58 2025","algebra_progressive.osexp","correct","0","2","no","5","5","2","59","9","9"
"Progressive","1724","1","6","5x - 1 = 29","Fri Sep 26 13:08:58 2025","algebra_progressive.osexp","correct","0","3","no","5","6","2","60","10","10"
