"Condition","RT_response","Retrieval","Transformation","block","correct","correct_response","cur_problem","datetime","experiment_file","practice","problem_type","response","subject_nr","trial"
"Randomised","381","one","none","7","0","7","x = 14 / 2","Thu Sep 25 15:50:53 2025","algebra_randomised.osexp","no","3","5","3","35"
"Randomised","507","minimal","one","7","0","4","x - 3 = 1","Thu Sep 25 15:50:53 2025","algebra_randomised.osexp","no","2","6","3","36"
"Randomised","415","none","none","7","0","9","x = 9","Thu Sep 25 15:50:53 2025","algebra_randomised.osexp","no","1","6","3","37"
"Randomised","438","one","one","7","0","7","4x = 28","Thu Sep 25 15:50:53 2025","algebra_randomised.osexp","no","4","5","3","38"
"Randomised","404","two","two","7","0","3","4x + 7 = 19","Thu Sep 25 15:50:53 2025","algebra_randomised.osexp","no","5","6","3","39"
"Randomised","303","none","none","8","0","8","x = 8","Thu Sep 25 15:50:53 2025","algebra_randomised.osexp","no","1","5","3","40"
"Randomised","527","minimal","one","8","0","5","x - 4 = 1","Thu Sep 25 15:50:53 2025","algebra_randomised.osexp","no","2","6","3","41"
"Randomised","414","two","two","8","0","3","3x - 2 = 7","Thu Sep 25 15:50:53 2025","algebra_randomised.osexp","no","5","5","3","42"
"Randomised","420","one","none","8","0","9","x = 45 / 5","Thu Sep 25 15:50:53 2025","algebra_randomised.osexp","no","3","6","3","43"
"Randomised","448","one","one","8","0","1","3x = 3","Thu Sep 25 15:50:53 2025","algebra_randomised.osexp","no","4","6","3","44"
"Randomised","411","none","none","9","0","3","x = 3","Thu Sep 25 15:50:53 2025","algebra_randomised.osexp","no","1","5","3","45"
"Randomised","355","two","two","9","0","5","8x + 9 = 49","Thu Sep 25 15:50:53 2025","algebra_randomised.osexp","no","5","6","3","46"
"Randomised","337","one","one","9","0","5","2x = 10","Thu Sep 25 15:50:53 2025","algebra_randomised.osexp","no","4","6","3","47"
"Randomised","426","one","none","9","0","2","x = 6 / 3","Thu Sep 25 15:50:53 2025","algebra_randomised.osexp","no","3","6","3","48"
"Randomised","376","minimal","one","9","0","5","x + 1 = 6","Thu Sep 25 15:50:53 2025","algebra_randomised.osexp","no","2","6","3","49"
"Randomised","962","none","none","10","0","3","x = 3","Thu Sep 25 15:50:53 2025","algebra_randomised.osexp","no","1","6","3","50"
"Randomised","706","one","none","10","0","2","x = 14 / 7","Thu Sep 25 15:50:53 2025","algebra_randomised.osexp","no","3","1","3","51"
"Randomised","406","minimal","one","10","0","9","x + 1 = 10","Thu Sep 25 15:50:53 2025","algebra_randomised.osexp","no","2","4","3","52"
"Randomised","454","two","two","10","0","6","5x + 8 = 38","Thu Sep 25 15:50:53 2025","algebra_randomised.osexp","no","5","3","3","53"
"Randomised","356","one","one","10","0","1","2x = 2","Thu Sep 25 15:50:53 2025","algebra_randomised.osexp","no","4","7","3","54"
